Year,Gender,Class,Event,Rank,Athlete,School,Mark
2015,Boys,Open,Javelin Throw,1,Adrian Mitchell,Calabar High School,55.71m
2015,Boys,Open,Javelin Throw,2,Delton Foote,Frome Technical High,49.59m
2015,Boys,Open,Javelin Throw,3,Elvis Graham,Hopewell High,49.47m
2015,Boys,Open,Javelin Throw,4,Romario Rodney,Jamaica College,49.23m
2015,Boys,Open,Javelin Throw,5,Delarno Beckford,Happy Grove High,47.49m
2015,Boys,Open,Javelin Throw,6,Donovan Thames,Glengoffe High,47.42m
2015,Boys,Open,Javelin Throw,7,Rajindra Campbell,Kingston College,47.36m
2015,Boys,Open,Javelin Throw,7,Hayden Street,Titchfield High School,47.36m
2015,Boys,Open,Javelin Throw,9,Javon Smith,Spaldings High,46.76m
2015,Boys,Open,Javelin Throw,10,Aval Denton,Edwin Allen High,46.62m
2015,Boys,Open,Javelin Throw,11,Brian-neil Robinson,St. Elizabeth Technical High,46.53m
2015,Boys,Open,Javelin Throw,12,Donovan Palmer,St. Jago High,45.17m
2015,Boys,Open,Javelin Throw,13,Ryheem Cole,Rusea's High,43.92m
2015,Boys,Open,Javelin Throw,14,Ato Wallace,Claude McKay High,41.96m
2015,Boys,Open,Javelin Throw,15,Shaundee Graham,Vere Technical High,41.25m
2015,Boys,Open,Javelin Throw,16,Daniel Willis,Wolmer's,40.16m
2015,Boys,Open,Javelin Throw,17,Romaine Stephenson,Edith Dalton James,37.68m
2015,Boys,Open,Javelin Throw,1,Kevin Nedrick,Petersfield High,53.64m
2015,Boys,Open,Javelin Throw,2,Jevaud Pringle,Bellefield High,53.52m
2015,Boys,Open,Javelin Throw,3,Najair Jackson,Calabar High School,53.45m
2015,Boys,Open,Javelin Throw,4,Ronque Taylor,St. Elizabeth Technical High,49.79m
2015,Boys,Open,Javelin Throw,5,Orlando Stephenson,Bog Walk High,47.62m
2015,Boys,Open,Javelin Throw,6,Tyrik Sewell,Morant Bay High,47.56m
2015,Boys,Open,Javelin Throw,7,Kalvin Brown,Ardenne High,46.64m
2015,Boys,Open,Javelin Throw,8,Shawayne Hill,St. George's College,46.21m
2015,Boys,Open,Javelin Throw,9,Rohan Nichols,Vere Technical High,45.59m
2015,Boys,Open,Javelin Throw,10,Djair Bulgin,Muschett High,45.44m
2015,Boys,Open,Javelin Throw,11,Lashane Kettle,Kingston College,45.10m
2015,Boys,Open,Javelin Throw,12,Travan Beckford,St. Jago High,43.81m
2015,Boys,Open,Javelin Throw,13,Venton Prendegast,Jamaica College,43.63m
2015,Boys,Open,Javelin Throw,14,Renaldo Smith,Camperdown High,42.57m
2015,Boys,Open,Javelin Throw,15,Olando Dinham,Hopewell High,40.81m
2015,Boys,Open,Javelin Throw,16,Gavin Johnson,Dinthill Technical High,38.64m
2015,Boys,Open,Javelin Throw,17,Delroy Millwood,Happy Grove High,36.05m
2015,Boys,Open,Javelin Throw,18,Orane Singh,Frome Technical High,31.99m
2015,Boys,Class 2,400 Meter Dash,1,Christopher Taylor,Calabar High School,47.25
2015,Boys,Class 2,400 Meter Dash,2,Keco Morrison,Morant Bay High,49.87
2015,Boys,Class 2,400 Meter Dash,3,Hakeem Russell,Pembrook Hall High,51.98
2015,Boys,Class 2,400 Meter Dash,4,Chrisjunior Coleman,Manchester High,53.04
2015,Boys,Class 2,400 Meter Dash,5,Paul Bowen,Grange Hill High,54.10
2015,Boys,Class 2,400 Meter Dash,6,Marcus Ewers,Vauxhall High,56.24
2015,Boys,Class 2,400 Meter Dash,--,Enrique Campbell,Dinthill Technical High,DNF
2015,Boys,Class 2,400 Meter Dash,1,Anthony Carpenter,Calabar High School,48.34
2015,Boys,Class 2,400 Meter Dash,2,Gary Gordon,St. Jago High,50.15
2015,Boys,Class 2,400 Meter Dash,3,Shamar Beckford,Muschett High,51.01
2015,Boys,Class 2,400 Meter Dash,4,Jahvarrie Johnson,Mavis Bank High,51.22
2015,Boys,Class 2,400 Meter Dash,5,Tyrone Williams,Spaldings High,51.83
2015,Boys,Class 2,400 Meter Dash,6,Yanique Barrett,Old Harbour High,52.00
2015,Boys,Class 2,400 Meter Dash,7,Richardo Nelson,Brown's Town High,55.03
2015,Boys,Class 2,400 Meter Dash,1,Jauavney James,St. Elizabeth Technical High,49.83
2015,Boys,Class 2,400 Meter Dash,2,Dashawn Morris,Kingston College,50.23
2015,Boys,Class 2,400 Meter Dash,3,Andy Williams,St. Jago High,50.73
2015,Boys,Class 2,400 Meter Dash,4,Matthew Brown,Meadowbrook High,51.19
2015,Boys,Class 2,400 Meter Dash,5,Oshane Staple,Lacovia High,53.40
2015,Boys,Class 2,400 Meter Dash,6,Keno Johnson,Albert Town High,53.45
2015,Boys,Class 2,400 Meter Dash,--,Shemar Jones,Greater Portmore,DQ
2015,Boys,Class 2,400 Meter Dash,1,Achebe Thompson,Excelsior High,49.82
2015,Boys,Class 2,400 Meter Dash,2,Franklyn Dunkley,St. Andrew Technical High,50.12
2015,Boys,Class 2,400 Meter Dash,3,Leonardo Stewart,B. B. Coke High,50.56
2015,Boys,Class 2,400 Meter Dash,4,Kristoff Walters,Lacovia High,50.79
2015,Boys,Class 2,400 Meter Dash,5,Rod Stewart,Frome Technical High,50.96
2015,Boys,Class 2,400 Meter Dash,6,Johnathan Grant,St. Mary High,52.65
2015,Boys,Class 2,400 Meter Dash,7,Romell Lennox,Waterford High School,54.51
2015,Boys,Class 2,400 Meter Dash,1,Sheldon Smith,Munro College,49.81
2015,Boys,Class 2,400 Meter Dash,2,Romario Mickiel,Manchester High,50.64
2015,Boys,Class 2,400 Meter Dash,3,Akeem Thomas,Wolmer's,50.87
2015,Boys,Class 2,400 Meter Dash,4,Allix Armstrong,Mona High,51.74
2015,Boys,Class 2,400 Meter Dash,5,Maneesh Vassell,Rhodes Hall High,52.56
