Year,Gender,Class,Event,Rank,Athlete,School,Mark
2012,Boys,Open,2000 Meter Steeplechase,1,Rodney Henry,Spaldings High,
2012,Boys,Open,2000 Meter Steeplechase,2,Nembhard Palmer,Bellefield High,
2012,Boys,Open,2000 Meter Steeplechase,3,Sanjer Pantry,St. Jago High,
2012,Boys,Open,2000 Meter Steeplechase,4,Roshawn Johnson,St. Jago High,
2012,Boys,Open,2000 Meter Steeplechase,5,Sanj D. Powell,Kingston College,
2012,Boys,Open,2000 Meter Steeplechase,6,Sherdaine Johnson,Kingston College,
2012,Boys,Open,2000 Meter Steeplechase,7,Carlington Reid,Calabar High School,
2012,Boys,Open,2000 Meter Steeplechase,8,Henry Thomas,Tacius Golding High,
2012,Boys,Open,2000 Meter Steeplechase,9,Damion Douglas,Hydel Group of Schools,
2012,Boys,Open,2000 Meter Steeplechase,10,Lerone Haye,Ocho Rios High,
2012,Boys,Open,2000 Meter Steeplechase,11,Bejaun Jones,Jamaica College,
2012,Boys,Open,2000 Meter Steeplechase,12,Odane Williams,Edwin Allen High,
2012,Boys,Open,2000 Meter Steeplechase,13,Kemar Barrett,Wolmer's,
2012,Boys,Open,2000 Meter Steeplechase,14,Ricardo Lawes,Edwin Allen High,
2012,Boys,Open,2000 Meter Steeplechase,15,Jahnoy Bond,Manchester High,
2012,Boys,Open,2000 Meter Steeplechase,16,Winston Freeman,Bellefield High,
2012,Boys,Open,2000 Meter Steeplechase,17,Markey Simms,Munro College,
2012,Boys,Open,2000 Meter Steeplechase,18,Rohan Simms,Titchfield High School,
2012,Boys,Open,2000 Meter Steeplechase,19,Cleious Benjamin,Munro College,
2012,Boys,Open,2000 Meter Steeplechase,20,Sheneal Coward,Guys Hill High,
2012,Boys,Open,2000 Meter Steeplechase,21,Rohan Brown,Papine High,
2012,Boys,Open,2000 Meter Steeplechase,22,Navarro Walker,Spaldings High,
2012,Boys,Open,2000 Meter Steeplechase,23,Fabian Bryan,Spanish Town High,
2012,Boys,Open,2000 Meter Steeplechase,24,Jannoi Newman,Spanish Town High,
2012,Boys,Open,2000 Meter Steeplechase,25,Christopher Francis,Campion College,
2012,Boys,Open,2000 Meter Steeplechase,26,Renard Harriott,Wolmer's,
2012,Boys,Decathlon,100 Meter Run,1,Andre MC Farlane,Jamaica College,11.11
2012,Boys,Decathlon,100 Meter Run,2,Waquar Larrington,St. Jago High,11.15
2012,Boys,Decathlon,100 Meter Run,3,Darron Hunter,Kingston College,11.21
2012,Boys,Decathlon,100 Meter Run,4,Adrian Riley,Calabar High School,11.38
2012,Boys,Decathlon,100 Meter Run,5,Alton Palmer,Buff Bay High,11.45
2012,Boys,Decathlon,100 Meter Run,6,Rosean Maxwell,Munro College,11.48
2012,Boys,Decathlon,100 Meter Run,7,Maurice Harrison,Excelsior High,11.62
2012,Boys,Decathlon,100 Meter Run,8,Jamar MC Naughton,St. Elizabeth Technical High,11.64
