Year,Gender,Class,Event,Rank,Athlete,School,Mark
2014,Girls,Class 4,Long Jump,1,Shade Parr,Hydel Group of Schools,5.06m
2014,Girls,Class 4,Long Jump,2,Ashalee Brown,Immaculate Conception High,4.78m
2014,Girls,Class 4,Long Jump,3,Toni-ann Reid,St. Jago High,4.76m
2014,Girls,Class 4,Long Jump,4,Natasha Dudley,Vere Technical High,4.74m
2014,Girls,Class 4,Long Jump,5,Anissa Walters,Holy Childhood High,4.65m
2014,Girls,Class 4,Long Jump,6,Ebony Campbell,Wolmer's,4.64m
2014,Girls,Class 4,Long Jump,7,Tamoya Williams,Alpha Academy,4.57m
2014,Girls,Class 4,Long Jump,8,sudene Patterson,Jonathan Grant High,4.52m
2014,Girls,Class 4,Long Jump,9,Shanoya Bromfield,Merl Grove High,4.45m
2014,Girls,Class 4,Long Jump,10,Denae Mcfarlane,Edwin Allen High,4.39m
2014,Girls,Class 4,Long Jump,11,Jordian Phillips,Herbert Morrison,4.37m
2014,Girls,Class 4,Long Jump,12,Sarah Northover,St. Andrew High for Girls,4.32m
2014,Girls,Class 4,Long Jump,13,Majel Morrison,Holmwood Technical High,4.21m
2014,Girls,Class 4,Long Jump,14,Serena Daley,Manchester High,4.20m
2014,Girls,Class 4,Long Jump,15,Rassheniya Johnson,Green Pond High,4.15m
2014,Girls,Class 4,Long Jump,15,Selena Thompson,Gaynstead High School,4.15m
2014,Girls,Class 4,Long Jump,17,Shaniquah Savage,Tacky High,4.08m
2014,Girls,Class 4,Long Jump,18,Dasia Green,St. Hugh's High,3.89m
2014,Girls,Class 4,Long Jump,1,Ashanti Moore,Hydel Group of Schools,5.10m
2014,Girls,Class 4,Long Jump,2,Lotavia Brown,Edwin Allen High,5.09m
2014,Girls,Class 4,Long Jump,3,Reshma Anderson,Holy Childhood High,5.00m
2014,Girls,Class 4,Long Jump,4,Eilika Lane,Buff Bay High,4.91m
2014,Girls,Class 4,Long Jump,5,Jamani Richards,St. Jago High,4.89m
2014,Girls,Class 4,Long Jump,5,Noellea-marie Mason,Wolmer's,4.89m
2014,Girls,Class 4,Long Jump,5,Janielle Josephs,St. Andrew High for Girls,4.89m
2014,Girls,Class 4,Long Jump,8,Danella Dawkins,Manchester High,4.83m
2014,Girls,Class 4,Long Jump,9,Dasha Gray,The Queens School,4.79m
2014,Girls,Class 4,Long Jump,9,Marie Forbes,Vere Technical High,4.79m
2014,Girls,Class 4,Long Jump,11,Faithlyn Irving,Holmwood Technical High,4.64m
2014,Girls,Class 4,Long Jump,12,Briannah Peterkin,St. Catherine High,4.53m
2014,Girls,Class 4,Long Jump,13,Saralee Drysdale,Camperdown High,4.49m
2014,Girls,Class 4,Long Jump,14,Toni-ann Campbell,Campion College,4.28m
2014,Girls,Class 4,Long Jump,15,Megan Mcdonald,Happy Grove High,4.11m
2014,Boys,Class 1,400 Meter Dash,1,Javon Francis,Calabar High School,48.04
2014,Boys,Class 1,400 Meter Dash,2,Collin Sewell,Titchfield High School,48.54
2014,Boys,Class 1,400 Meter Dash,3,Telphia Hines,Donald Quarrie High,49.83
2014,Boys,Class 1,400 Meter Dash,4,Rojae Blair,Lacovia High,50.04
2014,Boys,Class 1,400 Meter Dash,5,Johnoy Brooks,Maggotty High School,50.13
2014,Boys,Class 1,400 Meter Dash,6,Hakeem Gardener,Central High,51.89
2014,Boys,Class 1,400 Meter Dash,--,Mazinho Barrett,Garvey Maceo High,DQ
2014,Boys,Class 1,400 Meter Dash,1,Nathon Allen,St. Jago High,47.57
2014,Boys,Class 1,400 Meter Dash,2,Terry Thomas,Greater Portmore,48.02
2014,Boys,Class 1,400 Meter Dash,3,Jordon Scott,Petersfield High,48.42
2014,Boys,Class 1,400 Meter Dash,4,Lee-Andrew Bloomfield,Wolmer's,48.46
2014,Boys,Class 1,400 Meter Dash,5,Nashaun Samuels,B. B. Coke High,50.30
2014,Boys,Class 1,400 Meter Dash,6,Japhet Walcott,Kellits High,50.36
2014,Boys,Class 1,400 Meter Dash,7,Kashane Walker,Waterford High School,50.40
2014,Boys,Class 1,400 Meter Dash,1,Ivan Henry,St. Jago High,48.55
2014,Boys,Class 1,400 Meter Dash,2,Shawndail McLaren,Jamaica College,48.67
2014,Boys,Class 1,400 Meter Dash,3,Thorn Fearon,Kingston College,48.90
2014,Boys,Class 1,400 Meter Dash,4,Shacquille Mckay,Wolmer's,50.09
2014,Boys,Class 1,400 Meter Dash,5,Jordain Minott,Old Harbour High,51.17
2014,Boys,Class 1,400 Meter Dash,6,Prince Bernard,Little London High,51.68
2014,Boys,Class 1,400 Meter Dash,7,Jeremiah Messam,Lennon High,52.60
2014,Boys,Class 1,400 Meter Dash,8,Zeneal Fearon,St. Mary's College,52.90
2014,Boys,Class 1,400 Meter Dash,1,Marco Doodnaughtsingh,Kemps Hill High,48.21
2014,Boys,Class 1,400 Meter Dash,2,Devaughn Baker,Jamaica College,48.81
2014,Boys,Class 1,400 Meter Dash,3,Akeemo Minott,St. George's College,48.82
2014,Boys,Class 1,400 Meter Dash,4,Stephan Powell,Morant Bay High,51.04
2014,Boys,Class 1,400 Meter Dash,5,Cruise Billings,Godfrey Stewart High,51.99
2014,Boys,Class 1,400 Meter Dash,6,Jamoye Lafayette,Annotto Bay High,52.23
2014,Boys,Class 1,400 Meter Dash,7,Sanjay Brown,Vauxhall High,52.62
2014,Boys,Class 1,400 Meter Dash,1,Lennox Williams,Manchester High,47.65
2014,Boys,Class 1,400 Meter Dash,2,Davion Reid,Tacky High,48.13
2014,Boys,Class 1,400 Meter Dash,3,Romario Williams,Muschett High,48.44
2014,Boys,Class 1,400 Meter Dash,4,Dennis Sterling,Guys Hill High,49.66
2014,Boys,Class 1,400 Meter Dash,5,Kemario Eldemire,Seaforth High,51.49
2014,Boys,Class 1,400 Meter Dash,6,Shakeel Brown,Mona High,52.28
2014,Boys,Class 1,400 Meter Dash,7,Marlon Mccallum,Tarrant High School,53.67
2014,Boys,Class 1,400 Meter Dash,1,Twayne Crooks,Vere Technical High,48.15
2014,Boys,Class 1,400 Meter Dash,2,Neeno Symister,Green Island High,48.97
2014,Boys,Class 1,400 Meter Dash,3,Karayme Bartley,Kingston College,49.00
2014,Boys,Class 1,400 Meter Dash,4,Jahnoy Thompson,Maggotty High School,49.48
2014,Boys,Class 1,400 Meter Dash,5,Jerry Cole,Spaldings High,53.48
2014,Boys,Class 1,400 Meter Dash,6,Kenny Rattray,Pembrook Hall High,55.74
2014,Boys,Class 1,400 Meter Dash,--,Nicholas Marshalleck,Bridgeport High,DQ
2014,Boys,Class 1,400 Meter Dash,1,Okeen Williams,St. Elizabeth Technical High,48.29
2014,Boys,Class 1,400 Meter Dash,2,Kemar Mowatt,Munro College,48.70
2014,Boys,Class 1,400 Meter Dash,3,Kemar Chin,Holmwood Technical High,49.63
2014,Boys,Class 1,400 Meter Dash,4,Tafari Ellis,Frome Technical High,49.96
2014,Boys,Class 1,400 Meter Dash,5,Romario Hart,Green Island High,50.65
2014,Boys,Class 1,400 Meter Dash,6,Alex Bolt,Edith Dalton James,52.44
2014,Boys,Class 1,400 Meter Dash,--,Jonoi Smith,Newell High,DNF
