Year,Gender,Class,Event,Rank,Athlete,School,Mark
2017,Boys,Class 1,Long Jump,1,Carey Mcleod,Kingston College,7.70mq
2017,Boys,Class 1,Long Jump,2,Shakwon Coke,Kingston College,7.36mq
2017,Boys,Class 1,Long Jump,3,Tasrico Bell,Vere Technical High,7.27mq
2017,Boys,Class 1,Long Jump,4,Tajdre Stevens,Herbert Morrison,7.11mq
2017,Boys,Class 1,Long Jump,5,Safin Wills,Jamaica College,7.06mq
2017,Boys,Class 1,Long Jump,6,Kavouhn Lewars-Smith,Ardenne High,7.00mq
2017,Boys,Class 1,Long Jump,6,Gabriel Allen,Calabar High School,7.00mq
2017,Boys,Class 1,Long Jump,8,Dameon Creary,Wolmer's,6.94mq
2017,Boys,Class 1,Long Jump,9,Alexander Thompson,St. George's College,6.91mq
2017,Boys,Class 1,Long Jump,10,Rashaun Dawkins,St. Jago High,6.89mq
2017,Boys,Class 1,Long Jump,11,Paketo Dudley,Jamaica College,6.88mq
2017,Boys,Class 1,Long Jump,12,Joel Morgan,Excelsior High,6.87mq
2017,Boys,Class 1,Long Jump,13,Micheal Buchanan,St. Elizabeth Technical High,6.84mq
2017,Boys,Class 1,Long Jump,14,Daniel Bogle,Calabar High School,6.83mq
2017,Boys,Class 1,Long Jump,15,Timothy Young,Wolmer's,6.78m
2017,Boys,Class 1,Long Jump,16,Ashane Beckford,Glenmuir High,6.75m
2017,Boys,Class 1,Long Jump,17,Romario Huluzana,St. Catherine High,6.66m
2017,Boys,Class 1,Long Jump,18,Malik Palmer,Mona High,6.63m
2017,Boys,Class 1,Long Jump,18,Ansel Gray,Petersfield High,6.63m
2017,Boys,Class 1,Long Jump,20,Tevin Dunn,Munro College,6.59m
2017,Boys,Class 1,Long Jump,21,Kareem Ferguson,St. Jago High,6.53m
2017,Boys,Class 1,Long Jump,22,Johnathan Edwards,Holmwood Technical High,6.51m
2017,Boys,Class 1,Long Jump,23,Fitzroy Mullings,Green Island High,6.35m
2017,Boys,Class 1,Long Jump,24,Javier Nembhard,Camperdown High,6.32m
2017,Boys,Class 1,Long Jump,--,Romaryo Prince,Excelsior High,FOUL
2017,Girls,Class 4,70 Meter Hurdles,1,Shanoya Pottinger,Hydel Group of Schools,10.67Q
2017,Girls,Class 4,70 Meter Hurdles,2,Danae Nembhard,St. Jago High,10.68Q
2017,Girls,Class 4,70 Meter Hurdles,3,Alishia Mckenzie,Edwin Allen High,10.69Q
2017,Girls,Class 4,70 Meter Hurdles,4,Kenillia Francis,The Queens School,10.80Q
2017,Girls,Class 4,70 Meter Hurdles,5,Shackelia Green,St. Elizabeth Technical High,10.84Q
2017,Girls,Class 4,70 Meter Hurdles,6,Krystyna Constantine,Wolmer's,10.68Q
2017,Girls,Class 4,70 Meter Hurdles,7,Chrystal Shaw,The Queens School,10.70Q
2017,Girls,Class 4,70 Meter Hurdles,8,Najeeka Brown,Hydel Group of Schools,10.78Q
2017,Girls,Class 4,70 Meter Hurdles,9,Chantel Williams,Alpha Academy,10.91Q
2017,Girls,Class 4,70 Meter Hurdles,10,Alliyan Blair,St. Jago High,11.01Q
2017,Girls,Class 4,70 Meter Hurdles,11,Cambrea Findlater,Alpha Academy,10.79q
2017,Girls,Class 4,70 Meter Hurdles,12,Venise Robinson,Vere Technical High,11.06q
2017,Girls,Class 4,70 Meter Hurdles,13,Rashema Lindo,St. Elizabeth Technical High,11.21q
2017,Girls,Class 4,70 Meter Hurdles,14,Tadavea Williams,Edwin Allen High,11.33q
2017,Girls,Class 4,70 Meter Hurdles,15,T'Kyla Bennett,Excelsior High,11.36q
2017,Girls,Class 4,70 Meter Hurdles,16,Shanelle Hall,Vere Technical High,11.39q
2017,Girls,Class 4,70 Meter Hurdles,17,Breanna Bryan,Mona High,11.39
2017,Girls,Class 4,70 Meter Hurdles,18,Briana Duhaney,Holmwood Technical High,11.46
2017,Girls,Class 4,70 Meter Hurdles,19,Britney Lorman,Mt. Alvernia High,11.49
2017,Girls,Class 4,70 Meter Hurdles,20,Annalice Brady,Knox College,11.60
2017,Girls,Class 4,70 Meter Hurdles,21,Ziann Facey,Immaculate Conception High,11.61
2017,Girls,Class 4,70 Meter Hurdles,22,Keviecia Francis,Camperdown High,11.66
2017,Girls,Class 4,70 Meter Hurdles,23,Kaela-Michele O'Connor,St. Andrew Technical High,11.75
2017,Girls,Class 4,70 Meter Hurdles,24,Chloe-Mae Wilks,Wolmer's,11.81
2017,Girls,Class 4,70 Meter Hurdles,25,Paula-Marie Brown,Mt. Alvernia High,11.82
