Year,Gender,Class,Event,Rank,Athlete,School,Mark
2016,Boys,Class 1,Long Jump,1,Obrien Wasome,Jamaica College,7.74mq
2016,Boys,Class 1,Long Jump,2,Leroy Paige,Calabar High School,7.17mq
2016,Boys,Class 1,Long Jump,3,Tasrico Bell,Vere Technical High,7.14mq
2016,Boys,Class 1,Long Jump,4,Dameon Creary,Kingston College,7.11mq
2016,Boys,Class 1,Long Jump,5,Lorne Barrett,Campion College,7.10mq
2016,Boys,Class 1,Long Jump,5,Shown-D Thompson,St. Jago High,7.10mq
2016,Boys,Class 1,Long Jump,7,Paketo Dudley,Jamaica College,7.08mq
2016,Boys,Class 1,Long Jump,8,Shammawi Wellington,Kingston College,6.92mq
2016,Boys,Class 1,Long Jump,9,Gabriel Allen,Calabar High School,6.91mq
2016,Boys,Class 1,Long Jump,9,Ryan Brown,Old Harbour High,6.91mq
2016,Boys,Class 1,Long Jump,11,Jordan Scott,Campion College,6.87mq
2016,Boys,Class 1,Long Jump,11,Rashaun Dawkins,St. Jago High,6.87mq
2016,Boys,Class 1,Long Jump,13,Daniel Clarke,Herbert Morrison,6.78mq
2016,Boys,Class 1,Long Jump,14,Ouekie Wright,St. Elizabeth Technical High,6.71m
2016,Boys,Class 1,Long Jump,15,Kavouhn Lewars-Smith,Ardenne High,6.60m
2016,Boys,Class 1,Long Jump,16,Nicolas Russ,St. Andrew Technical High,6.52m
2016,Boys,Class 1,Long Jump,17,Mario Watson,Oberlin High,6.51m
2016,Boys,Class 1,Long Jump,17,Timothy Young,Wolmer's,6.51m
2016,Boys,Class 1,Long Jump,19,Nicholas Anderson,Spaldings High,6.34m
2016,Boys,Class 1,Long Jump,20,Roshane Samuels,Petersfield High,6.30m
2016,Boys,Class 1,Long Jump,21,Akeem Allen,St. Elizabeth Technical High,6.17m
2016,Boys,Class 1,Long Jump,22,Malik Palmer,Mona High,6.15m
2016,Boys,Class 1,Long Jump,23,Leon Gordon,Green Pond High,6.12m
2016,Boys,Class 1,Long Jump,24,Jonathan Smith,Excelsior High,6.08m
2016,Boys,Open,Javelin Throw,1,Delarno Beckford,Happy Grove High,56.94mq
2016,Boys,Open,Javelin Throw,2,Kevin Nedrick,Petersfield High,53.68mq
2016,Boys,Open,Javelin Throw,3,Tyrik Sewell,Morant Bay High,53.09mq
2016,Boys,Open,Javelin Throw,4,Adrian Mitchell,Calabar High School,52.10mq
2016,Boys,Open,Javelin Throw,5,Hasan Williams,Maud McLeod High,51.86mq
2016,Boys,Open,Javelin Throw,6,Lashane Kettle,Kingston College,51.81mq
2016,Boys,Open,Javelin Throw,7,Jevaud Pringle,Bellefield High,50.89mq
2016,Boys,Open,Javelin Throw,8,Aval Denton,Edwin Allen High,50.30mq
2016,Boys,Open,Javelin Throw,9,Peter Clarke,Wolmer's,49.13mq
2016,Boys,Open,Javelin Throw,10,Djair Bulgin,Muschett High,49.03mq
2016,Boys,Open,Javelin Throw,11,Leandrew Davis,St. Mary's College,48.91mq
2016,Boys,Open,Javelin Throw,12,Michael Williams,Excelsior High,48.69mq
